Identifier (RIC),Company Name,Country of Headquarters,"Company Market Cap
(EUR)","Total Assets
(FY-1, EUR)","Retained Earnings
(FY-1, EUR)","Earnings before Interest & Taxes (EBIT)
(FY-1, EUR)","Total Liabilities
(FY-1, EUR)","Revenue from Business Activities - Total
(FY-1, EUR)","Working Capital
(FY-1, EUR)",Organization Status Code,TRBC Economic Sector Name,Delisted Quote Flag,Issuer Rating,Credit Combined PD (%),Region
KRKG.LJ,Krka dd Novo Mesto,Slovenia,8417567845,2849021000,152608000,428329000,611237000,1909544000,1377545000,Act,Healthcare,FALSE,,0,South
UIE.CO,UIE PLC,Malta,1482039189,1066814334,22002236.1,197997909.2,100643882.3,473433953.2,269084285.6,Act,Consumer Non-Cyclicals,FALSE,,0,South
CBRH.CY,Constantinou Bros Hotels PCL,Cyprus,35313729.34,231962790,8511386,13631683,114057478,62496046,52511788,Act,Consumer Cyclicals,FALSE,,0,South
TEF.MC,Telefonica SA,Spain,20676340997,1.01E+11,-279000000,4692000000,77753000000,35671000000,-3365000000,Act,Technology,FALSE,Baa3,0,South
EPAr.AT,Attica Holdings SA,Greece,429872150.4,1280710000,-19681493.51,16390000,779154000,747811000,89311000,Act,Industrials,FALSE,,0,South
FNMI.MI,FNM SpA,Italy,198072067.5,2350698000,49326000,375948000,1940197000,913683000,42319000,Act,Industrials,FALSE,BBB+,0,South
AMCr.AT,Athens Medical Center SA,Greece,154200475.2,495858000,44280.4,14305000,387047000,269845000,-38888000,Act,Healthcare,FALSE,,0,South
NAF.AT,Nafpaktos Textile Industry SA,Greece,13565243.68,26313029,-1208387,-720103,16651395,13602254,3328354,Act,Consumer Cyclicals,FALSE,,0,South
PAIr.AT,E Pairis SA,Greece,4180834.587,17089492.18,346597.33,1109562.9,13421597.92,12215811.96,2126489.86,Act,Basic Materials,FALSE,,0,South
AI.MC,Airtificial Intelligence Structures SA,Spain,149488143.5,230506000,664000,3036000,149419000,110079000,16168000,Act,Technology,FALSE,,0,South
VILr.AT,Unibios Holdings SA,Greece,44430768.04,29122710.55,683630.67,2233703.62,11509488,14718018.7,8408424.93,Act,Industrials,FALSE,,0,South
ALBr.AT,Biokarpet SA Industrial and Commercial Enterprises,Greece,40487411.06,204198643,-177279,6727212,154801778,205491175,48086910,Act,Basic Materials,FALSE,,0,South
MZK.AT,El D Mouzakis Industrial Commercial Investing and Consulting Company SA,Greece,18874437.23,57836910.64,-60151.69,235699.38,26693368.66,4756890.67,4057007.1,Act,Consumer Cyclicals,FALSE,,0,South
OHLA.MC,Obrascon Huarte Lain SA,Spain,631452262.3,3572224000,-46916000,73958000,3041285000,3651866000,543788000,Act,Industrials,FALSE,WR,0,South
ACS.MC,ACS Actividades de Construccion y Servicios SA,Spain,35440819492,42025282000,827580000,855806000,36910352000,41633120000,3833569000,Act,Industrials,FALSE,NR,0,South
EZEN.MC,Grupo Ezentis SA,Spain,50428677.93,6327000,-3063000,-2847000,9970000,13884000,-5001000,Act,Industrials,FALSE,,0,South
UBS.MC,Urbas Grupo Financiero SA,Spain,35073386.72,1170591000,16788000,12684000,548919000,240055000,519972000,Act,Consumer Cyclicals,FALSE,,0.01,South
RCSM.MI,Rizzoli Corriere della Sera Mediagroup SpA,Italy,489950729.7,1059900000,25782999.6,93400000,616100000,819200000,-17900000,Act,Consumer Cyclicals,FALSE,,0,South
ENI.MI,Eni SpA,Italy,61135501846,1.47E+11,-543000000,10474000000,91291000000,88797000000,5755000000,Act,Energy,FALSE,a3,0,South
LOUr.AT,Loulis Food Ingredients SA,Greece,63951227.59,195292711,5114246.4,13113559,85491562,206783180,22441284,Act,Consumer Non-Cyclicals,FALSE,,0,South
SARr.AT,Flour Mills C Sarantopoulos SA,Greece,6180947.34,37781570,-110139,1173261,30788887,14106501,-5833768,Act,Consumer Non-Cyclicals,FALSE,,0,South
GEBKA.AT,General Commercial and Industrial SA,Greece,52626702.4,36630313.51,-209186.7,2143146.22,5373704.56,36688738.65,22223102.64,Act,Industrials,FALSE,,0,South
BITr.AT,Bitros Holding SA,Greece,8069698.779,67948148.81,-19410555.02,-1021589.12,192771036,6025129.33,-180138915.4,Act,Basic Materials,FALSE,,0,South
CAF.MC,Construcciones y Auxiliar de Ferrocarriles SA,Spain,2163883191,5215857000,57319000,214559000,4319606000,4211543000,454315000,Act,Industrials,FALSE,B+,0,South
AUMI.MI,Autostrade Meridionali SpA in liquidazione,Italy,11623210.79,28405000,-31119000,-218000,10147000,,16826000,Act,Industrials,FALSE,,0,South
LAMr.AT,Lampsa Hellenic Hotels SA,Greece,1019945312,279226000,20796000,27738000,150177000,122893000,76000,Act,Consumer Cyclicals,FALSE,,0,South
ELSRr.AT,Elastron SA,Greece,50383959.02,196766590.2,-535212.27,4163741.74,112529831.7,176835639.8,46216896.05,Act,Basic Materials,FALSE,,0,South
INRr.AT,Intracom SA Holdings,Greece,278881152.4,504440000,-7975561.636,-1319000,100731000,6453000,110163000,Act,Consumer Non-Cyclicals,FALSE,,0,South
HRMr.AT,Gek Terna SA,Greece,4677256546,8391404000,-20079934.2,198063000,6610176000,3249861000,1632937000,Act,Utilities,FALSE,Baa3,0,South
MFEB.MI,Mfe-Mediaforeurope NV,Italy,2139361120,4788200000,-13600000,356300000,1915500000,2949400000,-52800000,Act,Consumer Cyclicals,FALSE,,0,South
CORA.LS,Corticeira Amorim SGPS SA,Portugal,859453415.3,1362194000,31129000,100810000,527137000,939061000,462273000,Act,Basic Materials,FALSE,,0,South
JMT.LS,Jeronimo Martins SGPS SA,Portugal,10835694055,15297000000,228223810.2,1137000000,12044000000,33464000000,-3083000000,Act,Consumer Non-Cyclicals,FALSE,,0,South
FCPP.LS,Futebol Clube do Porto Futebol Sad,Portugal,67417119.53,407113499,-21062604,21143836,520874616,174498577,-243267742,Act,Consumer Cyclicals,FALSE,,0.01,South
NTZ.N,Natuzzi SpA,Italy,18578561.29,319024000,-15827122.19,-9472245.338,260816000,333045483.3,-14918000,Act,Consumer Cyclicals,FALSE,,0.02,South
VID.MC,Vidrala SA,Spain,2922047767,2308172000,200703000,336239000,998342000,1591177000,268843000,Act,Basic Materials,FALSE,,0,South
YAL.AT,Yalco Constantinou SA,Greece,2108067.609,6927706,-2647278,-2417026,50739549,4053404,-40791510,Act,Consumer Cyclicals,FALSE,,0.01,South
CALI.MI,Caltagirone SpA,Italy,1235716849,4763101000,97634600,257215000,1505787000,2093267000,420299000,Act,Basic Materials,FALSE,,0,South
CMTM.SCT,Cementos Molins SA,Spain,2509310593,2233685000,110706000,142022000,798266000,1060189000,193280000,Act,Basic Materials,FALSE,,0,South
KEKr.AT,Kekrops SA,Greece,36889359.3,17795120,-1023612,-5075326,5384899,17800,3941507,Act,Consumer Cyclicals,FALSE,,0,South
METM.MI,MetExtra Group SpA,Italy,1602597.218,37540000,2020000,3830000,8424000,39736000,8781000,Act,Industrials,FALSE,,0,South
CLEO.MC,Compania Levantina de Edificacion y Obras Publicas SA,Spain,16988093.78,63431000,613000,1258000,34575000,31482000,2462000,Act,Industrials,FALSE,,0,South
LGT.MC,Lingotes Especiales SA,Spain,55931239.91,101410343,-2132286,3263079,57119668,87092868,3745181,Act,Basic Materials,FALSE,,0,South
MCM.MC,Miquel y Costas & Miquel SA,Spain,543332044.8,513990000,40198000,60169000,125526000,309170000,148645000,Act,Basic Materials,FALSE,,0,South
PVA.MC,Pescanova SA,Spain,7003393.443,33267000,-670000,36000,39641000,0,157000,Act,Consumer Non-Cyclicals,FALSE,,0,South
YSO.LS,Sonae SGPS SA,Portugal,4144904386,11334565000,104245000,364967000,7593713000,9947068000,-794052000,Act,Consumer Non-Cyclicals,FALSE,,0,South
